DateTime,predicted_units,Year,Month,lag_1,lag_2,rolling_mean_3
2007-03-31,981.0429,2007,3,941.5829666666668,1150.2871666666665,929.6578555555556
2007-04-30,616.8863666666667,2007,4,981.0429,941.5829666666668,1024.3043444444445
2007-05-31,733.4812000000001,2007,5,616.8863666666667,981.0429,846.504077777778
2007-06-30,595.3584666666667,2007,6,733.4812000000001,616.8863666666667,777.1368222222222
2007-07-31,497.0912,2007,7,595.3584666666667,733.4812000000001,648.5753444444446
2007-08-31,568.3484666666667,2007,8,497.0912,595.3584666666667,608.6436222222222
2007-09-30,697.9979000000001,2007,9,568.3484666666667,497.0912,553.5993777777778
2007-10-31,821.3354333333333,2007,10,697.9979000000001,568.3484666666667,587.8125222222222
2007-11-30,932.0373666666668,2007,11,821.3354333333333,697.9979000000001,695.8939333333333
2007-12-31,1210.0921,2007,12,932.0373666666668,821.3354333333333,817.1235666666668
2008-01-31,1086.2306,2008,1,1210.0921,932.0373666666668,987.8216333333334
2008-02-29,822.2996666666667,2008,2,1086.2306,1210.0921,1076.1200222222224
2008-03-31,926.5366333333332,2008,3,822.2996666666667,1086.2306,1039.540788888889
2008-04-30,803.4998666666667,2008,4,926.5366333333332,822.2996666666667,945.0223
2008-05-31,762.0826,2008,5,803.4998666666667,926.5366333333332,850.7787222222222
2008-06-30,715.7465333333333,2008,6,762.0826,803.4998666666667,830.7063666666667
2008-07-31,591.3049666666667,2008,7,715.7465333333333,762.0826,760.4429999999999
2008-08-31,205.7401,2008,8,591.3049666666667,715.7465333333333,689.7113666666668
2008-09-30,711.1298666666667,2008,9,205.7401,591.3049666666667,504.2638666666667
2008-10-31,846.1622000000001,2008,10,711.1298666666667,205.7401,502.7249777777777
2008-11-30,998.9172,2008,11,846.1622000000001,711.1298666666667,587.6773888888889
2008-12-31,417.7634,2008,12,998.9172,846.1622000000001,852.0697555555556
